id,marque,nom,coloris,categorie,image,url_officielle_source,prix_sourcing_eur,prix_vente_eur,marge_eur,marge_pct,statut,notes_mohamed
gucci-gg-bordeaux,Gucci,Casquette GG,Bordeaux,accessoires,gucci-gg-bordeaux-patch-1.jpg,,,,,,À sourcer,
gucci-gg-kaki,Gucci,Casquette GG,Kaki,accessoires,gucci-gg-kaki-1.jpg,,,,,,À sourcer,
gucci-gg-noir,Gucci,Casquette GG,Noir,accessoires,gucci-gg-noir-1.jpg,,,,,,À sourcer,
gucci-gg-blanc,Gucci,Casquette GG,Blanc Cassé,accessoires,gucci-gg-blanc-1.jpg,,,,,,À sourcer,
gucci-gg-rose,Gucci,Casquette GG,Rose,accessoires,gucci-gg-rose-1.jpg,,,,,,À sourcer,
gucci-gg-lavande,Gucci,Casquette GG,Bleu Lavande,accessoires,gucci-gg-lavande-1.webp,,,,,,À sourcer,
gucci-gg-beige-web,Gucci,Casquette GG Web,Beige,accessoires,gucci-gg-beige-web-1.jpg,,,,,,À sourcer,
gucci-trucker-beige,Gucci,Casquette GG Supreme Trucker,Beige,accessoires,gucci-trucker-beige-1.jpg,,,,,,À sourcer,
gucci-trucker-noir,Gucci,Casquette GG Supreme Trucker,Noir,accessoires,gucci-trucker-noir-1.jpg,,,,,,À sourcer,
gucci-camo-trucker,Gucci,Casquette Camo Trucker,Noir,accessoires,gucci-camo-trucker-1.jpg,,,,,,À sourcer,
dior-cd-blanc,Dior,Casquette CD Icon,Blanc,accessoires,dior-cd-blanc-1.webp,,,,,,À sourcer,
dior-cd-beige,Dior,Casquette CD Icon,Beige,accessoires,dior-cd-beige-2.webp,,,,,,À sourcer,
dior-cd-bleu,Dior,Casquette CD Icon,Bleu Marine,accessoires,dior-cd-bleu-1.webp,,,,,,À sourcer,
dior-cd-noir,Dior,Casquette CD Icon,Noir,accessoires,dior-cd-noir-1.webp,,,,,,À sourcer,
dior-oblique-beige,Dior,Casquette Oblique,Beige,accessoires,dior-oblique-beige-1.webp,,,,,,À sourcer,
dior-oblique-bleu,Dior,Casquette Oblique,Bleu,accessoires,dior-oblique-bleu-1.webp,,,,,,À sourcer,
dior-oblique-gris,Dior,Casquette Oblique,Gris,accessoires,dior-oblique-gris-1.webp,,,,,,À sourcer,
